"","...1","gameplayId","nflId","time","team","pff_positionLinedUp","zone","relative_location","stunt","all_front","all_back"
"1",70,"2021090900_97",41263,2021-09-10 00:26:33,"DAL","LEO",13,"(1, 1)",1,"4","3"
"2",85,"2021090900_97",41263,2021-09-10 00:26:33,"DAL","LEO",11,"(2, 1)",1,"1","2"
"3",105,"2021090900_97",41263,2021-09-10 00:26:33,"DAL","LEO",8,"(3, 1)",1,"3","2"
"4",431,"2021090900_282",34777,2021-09-10 00:31:54,"TB","DRT",3,"(1, 1)",1,"3","2"
"5",446,"2021090900_282",34777,2021-09-10 00:31:54,"TB","DRT",3,"(1, 1)",1,"2","3"
"6",661,"2021090900_410",41263,2021-09-10 00:38:25,"DAL","LEO",14,"(1, 1)",1,"3","2"
"7",686,"2021090900_410",41263,2021-09-10 00:38:22,"DAL","LEO",14,"(1, 1)",1,"2","3"
"8",741,"2021090900_434",41263,2021-09-10 00:38:53,"DAL","LOLB",14,"(1, 1)",1,"4","3"
"9",791,"2021090900_434",41263,2021-09-10 00:38:54,"DAL","LOLB",14,"(2, 1)",1,"2","1"
"10",811,"2021090900_434",41263,2021-09-10 00:38:51,"DAL","LOLB",14,"(1, 1)",2,"c(""2"", ""3"")","c(""1"", ""4"")"
"11",988,"2021090900_480",41363,2021-09-10 00:40:04,"DAL","LE",12,"(2, 1)",1,"3","4"
"12",996,"2021090900_480",41363,2021-09-10 00:40:04,"DAL","LE",12,"(1, 1)",1,"2","1"
"13",1172,"2021090900_559",41263,2021-09-10 00:42:08,"DAL","LEO",14,"(2, 1)",1,"1","2"
"14",1366,"2021090900_687",35441,2021-09-10 00:48:34,"TB","DRT",4,"(2, 1)",1,"2","3"
"15",1847,"2021090900_869",41363,2021-09-10 00:57:55,"DAL","DLT",11,"(2, 1)",1,"3","4"
"16",1959,"2021090900_925",41363,2021-09-10 00:59:22,"DAL","DLT",14,"(1, 1)",1,"2","1"
"17",2035,"2021090900_947",41263,2021-09-10 01:00:05,"DAL","LEO",12,"(2, 1)",1,"2","1"
"18",2039,"2021090900_947",41263,2021-09-10 01:00:05,"DAL","LEO",12,"(2, 1)",1,"4","3"
"19",2209,"2021090900_1203",42403,2021-09-10 01:12:00,"DAL","RE",6,"(1, 1)",1,"3","2"
"20",2224,"2021090900_1203",42403,2021-09-10 01:12:01,"DAL","RE",6,"(2, 1)",1,"2","1"
"21",2666,"2021090900_1392",35441,2021-09-10 01:21:19,"TB","LE",14,"(3, 1)",1,"3","3"
"22",2909,"2021090900_1563",35441,2021-09-10 01:28:37,"TB","LE",13,"(2, 3)",1,"4","3"
"23",2939,"2021090900_1563",35441,2021-09-10 01:28:38,"TB","LE",14,"(1, 3)",1,"1","2"
"24",2994,"2021090900_1563",35441,2021-09-10 01:28:39,"TB","LE",14,"(1, 3)",1,"2","3"
"25",3091,"2021090900_1587",35441,2021-09-10 01:29:19,"TB","DLT",10,"(3, 1)",1,"3","2"
"26",3139,"2021090900_1587",35441,2021-09-10 01:29:20,"TB","DLT",11,"(3, 1)",1,"2","1"
"27",3157,"2021090900_1587",35441,2021-09-10 01:29:20,"TB","DLT",11,"(2, 1)",1,"3","2"
"28",3263,"2021090900_1687",40074,2021-09-10 01:34:45,"TB","DRT",1,"(3, 1)",1,"4","5"
"29",3421,"2021090900_1726",35441,2021-09-10 01:36:24,"TB","REO",4,"(5, 1)",1,"2","1"
"30",3476,"2021090900_1776",35441,2021-09-10 01:37:45,"TB","DRT",3,"(5, 1)",1,"4","4"
"31",3546,"2021090900_1776",35441,2021-09-10 01:37:46,"TB","DRT",4,"(5, 1)",1,"6","7"
"32",3553,"2021090900_1776",35441,2021-09-10 01:37:46,"TB","DRT",4,"(5, 1)",1,"2","1"
"33",3675,"2021090900_1918",34777,2021-09-10 01:43:32,"TB","LE",14,"(2, 3)",1,"2","3"
"34",3695,"2021090900_1918",34777,2021-09-10 01:43:32,"TB","LE",14,"(2, 3)",1,"3","4"
"35",3755,"2021090900_1940",35441,2021-09-10 01:44:14,"TB","DRT",2,"(4, 1)",1,"4","3"
"36",3775,"2021090900_1940",35441,2021-09-10 01:44:14,"TB","DRT",1,"(4, 1)",1,"3","2"
"37",3875,"2021090900_2008",41263,2021-09-10 01:47:19,"DAL","LEO",14,"(3, 1)",1,"4","3"
"38",3983,"2021090900_2032",41263,2021-09-10 01:47:42,"DAL","LEO",14,"(3, 1)",1,"3","4"
"39",4175,"2021090900_2129",35441,2021-09-10 01:54:06,"TB","LE",14,"(1, 1)",1,"1","2"
"40",4355,"2021090900_2211",35441,2021-09-10 01:56:54,"TB","LEO",10,"(3, 1)",1,"2","3"
"41",4455,"2021090900_2233",35441,2021-09-10 01:57:36,"TB","LE",9,"(3, 1)",1,"2","3"
"42",4551,"2021090900_2257",35441,2021-09-10 01:58:03,"TB","LE",14,"(1, 1)",1,"1","2"
"43",4663,"2021090900_2279",35441,2021-09-10 01:58:50,"TB","LEO",14,"(2, 1)",1,"2","2"
"44",5355,"2021090900_2632",35441,2021-09-10 02:25:56,"TB","LEO",13,"(3, 1)",1,"2","3"
"45",5380,"2021090900_2632",35441,2021-09-10 02:25:56,"TB","LEO",10,"(3, 1)",1,"2","1"
"46",5390,"2021090900_2632",35441,2021-09-10 02:25:56,"TB","LEO",9,"(4, 1)",1,"3","4"
"47",5460,"2021090900_2656",34777,2021-09-10 02:26:25,"TB","DLT",14,"(2, 1)",1,"2","3"
"48",5490,"2021090900_2656",34777,2021-09-10 02:26:26,"TB","DLT",14,"(2, 1)",1,"3","4"
"49",5500,"2021090900_2656",34777,2021-09-10 02:26:26,"TB","DLT",14,"(3, 1)",1,"3","2"
"50",5510,"2021090900_2656",34777,2021-09-10 02:26:26,"TB","DLT",14,"(4, 1)",1,"2","4"
"51",5600,"2021090900_2678",34777,2021-09-10 02:27:06,"TB","DRT",4,"(4, 1)",1,"2","1"
"52",5620,"2021090900_2678",34777,2021-09-10 02:27:07,"TB","DRT",3,"(5, 1)",1,"4","5"
"53",5735,"2021090900_2735",34777,2021-09-10 02:28:41,"TB","LE",14,"(1, 3)",1,"4","5"
"54",5810,"2021090900_2780",34777,2021-09-10 02:29:49,"TB","DRT",1,"(5, 1)",1,"1","2"
"55",5935,"2021090900_2871",41363,2021-09-10 02:35:06,"DAL","DRT",8,"(3, 1)",1,"2","3"
"56",6041,"2021090900_2893",41363,2021-09-10 02:35:45,"DAL","DRT",1,"(2, 1)",1,"4","3"
"57",6171,"2021090900_2915",41263,2021-09-10 02:36:26,"DAL","LOLB",12,"(3, 1)",1,"3","4"
"58",6371,"2021090900_3062",41263,2021-09-10 02:43:13,"DAL","LOLB",14,"(4, 1)",1,"2","1"
"59",6383,"2021090900_3062",41263,2021-09-10 02:43:14,"DAL","LOLB",14,"(3, 1)",1,"3","4"
"60",6631,"2021090900_3134",42403,2021-09-10 02:45:17,"DAL","RE",4,"(3, 1)",1,"5","6"
"61",6769,"2021090900_3261",34777,2021-09-10 02:51:20,"TB","DRT",4,"(3, 1)",1,"3","4"
"62",6804,"2021090900_3261",34777,2021-09-10 02:51:21,"TB","DRT",6,"(3, 1)",1,"4","5"
"63",6834,"2021090900_3261",34777,2021-09-10 02:51:21,"TB","DRT",8,"(4, 1)",1,"4","3"
"64",6907,"2021090900_3306",35441,2021-09-10 02:52:43,"TB","DRT",5,"(3, 1)",1,"3","2"
"65",7025,"2021090900_3330",35441,2021-09-10 02:53:27,"TB","DLT",8,"(1, 1)",1,"2","1"
"66",7045,"2021090900_3330",35441,2021-09-10 02:53:27,"TB","DLT",8,"(1, 1)",1,"3","2"
"67",7155,"2021090900_3364",35441,2021-09-10 02:54:07,"TB","LE",10,"(3, 1)",1,"3","2"
"68",7167,"2021090900_3364",35441,2021-09-10 02:54:08,"TB","LE",10,"(3, 1)",1,"2","1"
"69",7231,"2021090900_3406",35441,2021-09-10 02:55:31,"TB","DLT",9,"(3, 1)",1,"3","2"
"70",7237,"2021090900_3406",35441,2021-09-10 02:55:31,"TB","DLT",9,"(3, 1)",1,"4","5"
"71",7375,"2021090900_3462",41263,2021-09-10 03:00:09,"DAL","LEO",14,"(5, 1)",1,"2","3"
"72",7420,"2021090900_3462",41263,2021-09-10 03:00:08,"DAL","LEO",14,"(5, 1)",1,"3","2"
"73",7571,"2021090900_3633",44892,2021-09-10 03:07:18,"DAL","LEO",14,"(2, 1)",1,"1","2"
"74",7654,"2021090900_3655",41263,2021-09-10 03:07:58,"DAL","NT",6,"(4, 1)",1,"3","4"
"75",7684,"2021090900_3655",41263,2021-09-10 03:07:58,"DAL","NT",5,"(4, 1)",1,"2","1"
"76",7744,"2021090900_3724",34777,2021-09-10 03:12:24,"TB","LE",13,"(4, 1)",1,"4","3"
"77",7799,"2021090900_3724",34777,2021-09-10 03:12:25,"TB","LE",14,"(5, 1)",1,"4","5"
"78",8075,"2021090900_3862",41263,2021-09-10 03:18:38,"DAL","LEO",14,"(1, 1)",1,"3","4"
"79",8199,"2021090900_3909",44955,2021-09-10 03:20:23,"DAL","LE",14,"(2, 1)",1,"4","3"
"80",8367,"2021090900_3962",41263,2021-09-10 03:21:56,"DAL","LEO",14,"(1, 1)",1,"3","4"
"81",8659,"2021090900_4189",35441,2021-09-10 03:28:49,"TB","LE",13,"(4, 1)",1,"4","3"
"82",8839,"2021090900_4246",35441,2021-09-10 03:31:15,"TB","LE",9,"(2, 1)",1,"3","2"
"83",9231,"2021090900_4538",41263,2021-09-10 03:45:00,"DAL","LOLB",14,"(1, 1)",1,"4","3"
"84",9255,"2021090900_4538",41263,2021-09-10 03:45:00,"DAL","LOLB",14,"(2, 1)",1,"2","1"
"85",9309,"2021090900_4560",41263,2021-09-10 03:45:41,"DAL","NLT",10,"(2, 1)",1,"2","3"
"86",9334,"2021090900_4560",41263,2021-09-10 03:45:42,"DAL","NLT",10,"(2, 1)",1,"3","4"
"87",9575,"2021090900_4653",41363,2021-09-10 03:47:46,"DAL","DRT",11,"(3, 1)",1,"3","4"
"88",9763,"2021090900_4699",41263,2021-09-10 03:48:48,"DAL","LEO",12,"(2, 1)",1,"2","1"
"89",9771,"2021090900_4699",41263,2021-09-10 03:48:48,"DAL","LEO",10,"(2, 1)",1,"4","4"
"90",9859,"2021090900_4728",41263,2021-09-10 03:49:33,"DAL","LOLB",14,"(1, 1)",1,"3","4"
"91",9947,"2021090900_4750",41263,2021-09-10 03:50:18,"DAL","LEO",13,"(2, 1)",1,"2","1"
"92",9971,"2021090900_4750",41263,2021-09-10 03:50:18,"DAL","LEO",9,"(2, 1)",1,"3","4"
"93",10075,"2021090900_4772",41263,2021-09-10 03:51:00,"DAL","LEO",12,"(1, 1)",1,"5","6"
"94",10105,"2021090900_4772",41263,2021-09-10 03:51:01,"DAL","LEO",9,"(1, 1)",1,"4","5"
"95",10195,"2021091200_56",35452,2021-09-12 17:06:27,"PHI","LE",3,"(3, 1)",1,"3","2"
"96",10903,"2021091200_303",35452,2021-09-12 17:12:01,"PHI","LEO",14,"(2, 1)",1,"2","1"
"97",10967,"2021091200_348",35452,2021-09-12 17:12:52,"PHI","LE",14,"(1, 1)",1,"2","3"
"98",11192,"2021091200_605",40095,2021-09-12 17:22:55,"ATL","LOLB",14,"(5, 1)",1,"4","3"
"99",11242,"2021091200_605",40095,2021-09-12 17:22:56,"ATL","LOLB",14,"(5, 1)",1,"3","3"
"100",11307,"2021091200_705",37089,2021-09-12 17:28:53,"PHI","LE",9,"0",2,"c(""3"", ""1"")","c(""5"", ""2"")"
"101",11583,"2021091200_821",35452,2021-09-12 17:31:55,"PHI","LEO",14,"0",2,"c(""4"", ""1"")","c(""3"", ""2"")"
"102",11946,"2021091200_864",35452,2021-09-12 17:33:50,"PHI","LEO",11,"(2, 1)",1,"4","5"
"103",12135,"2021091200_1023",35452,2021-09-12 17:38:10,"PHI","LEO",14,"(1, 1)",1,"3","4"
"104",12311,"2021091200_1153",40095,2021-09-12 17:46:37,"ATL","ROLB",1,"(4, 1)",1,"2","1"
"105",12387,"2021091200_1182",40095,2021-09-12 17:47:17,"ATL","ROLB",1,"(4, 3)",1,"4","3"
"106",12566,"2021091200_1249",40095,2021-09-12 17:49:06,"ATL","ROLB",3,"(2, 1)",1,"2","3"
"107",12871,"2021091200_1459",35452,2021-09-12 17:57:06,"PHI","RE",12,"(1, 1)",1,"3","4"
"108",12879,"2021091200_1459",35452,2021-09-12 17:57:06,"PHI","RE",13,"(2, 1)",1,"1","2"
"109",12959,"2021091200_1494",35452,2021-09-12 17:58:17,"PHI","LEO",12,"(3, 1)",1,"3","4"
"110",12979,"2021091200_1494",35452,2021-09-12 17:58:18,"PHI","LEO",1,"(3, 1)",1,"1","2"
"111",13201,"2021091200_1582",42497,2021-09-12 18:03:20,"ATL","DRT",1,"(3, 1)",1,"1","2"
"112",13209,"2021091200_1582",42497,2021-09-12 18:03:20,"ATL","DRT",1,"(4, 1)",1,"4","3"
"113",13485,"2021091200_1732",40095,2021-09-12 18:09:07,"ATL","ROLB",1,"(4, 1)",1,"4","5"
"114",13950,"2021091200_2063",42346,2021-09-12 18:21:52,"ATL","LOLB",14,"(2, 1)",1,"2","1"
"115",14192,"2021091200_2121",42346,2021-09-12 18:23:12,"ATL","LOLB",13,"(2, 1)",1,"1","2"
"116",14299,"2021091200_2145",40039,2021-09-12 18:23:39,"ATL","LLB",14,"(2, 1)",1,"4","3"
"117",14339,"2021091200_2145",40039,2021-09-12 18:23:40,"ATL","LLB",14,"(1, 1)",1,"2","1"
"118",14668,"2021091200_2399",40095,2021-09-12 18:31:24,"ATL","REO",1,"(4, 1)",1,"3","2"
"119",14772,"2021091200_2631",42346,2021-09-12 18:54:09,"ATL","REO",1,"(1, 1)",1,"2","3"
"120",15148,"2021091200_2767",43341,2021-09-12 19:02:45,"ATL","LILB",10,"(3, 1)",1,"4","3"
"121",15176,"2021091200_2767",43341,2021-09-12 19:02:46,"ATL","LILB",6,"(2, 1)",1,"2","3"
"122",15349,"2021091200_2906",42346,2021-09-12 19:06:28,"ATL","REO",2,"(2, 1)",1,"2","1"
"123",15829,"2021091200_3110",35452,2021-09-12 19:13:06,"PHI","LEO",12,"(2, 1)",1,"2","1"
"124",16407,"2021091200_3599",40095,2021-09-12 19:35:27,"ATL","LOLB",8,"(4, 3)",1,"4","3"
"125",16757,"2021091200_3752",37089,2021-09-12 19:41:18,"PHI","LEO",14,"0",1,"1","4"
"126",17005,"2021091200_3776",37089,2021-09-12 19:41:51,"PHI","LOLB",14,"0",2,"c(""2"", ""3"")","c(""4"", ""1"")"
"127",17294,"2021091200_3928",40039,2021-09-12 19:47:30,"ATL","LLB",9,"(3, 1)",1,"2","3"
"128",17334,"2021091200_3928",40039,2021-09-12 19:47:31,"ATL","LLB",4,"(4, 1)",1,"3","4"
"129",17705,"2021091200_4112",35452,2021-09-12 19:54:29,"PHI","LEO",13,"(3, 1)",1,"4","3"
"130",17889,"2021091200_4240",37089,2021-09-12 19:59:55,"PHI","LEO",14,"0",2,"c(""3"", ""2"")","c(""1"", ""4"")"
"131",18041,"2021091200_4274",37089,2021-09-12 20:00:44,"PHI","LOLB",14,"(3, 1)",1,"4","3"
"132",18249,"2021091200_4298",37089,2021-09-12 20:01:08,"PHI","LOLB",8,"(3, 1)",1,"3","4"
"133",18417,"2021091200_4317",37089,2021-09-12 20:01:34,"PHI","LOLB",1,"(3, 1)",1,"4","3"
"134",18561,"2021091200_4346",35452,2021-09-12 20:03:23,"PHI","LEO",14,"(4, 1)",1,"1","2"
"135",18649,"2021091201_63",35449,2021-09-12 17:06:38,"PIT","LE",14,"(4, 1)",1,"3","4"
"136",18733,"2021091201_111",35449,2021-09-12 17:07:45,"PIT","DLT",14,"(4, 1)",1,"3","4"
"137",18879,"2021091201_262",35470,2021-09-12 17:15:01,"BUF","ROLB",1,"(5, 1)",1,"2","3"
"138",19045,"2021091201_406",37104,2021-09-12 17:21:13,"PIT","DRT",6,"(2, 1)",1,"3","4"
"139",19141,"2021091201_430",35449,2021-09-12 17:21:50,"PIT","DLT",1,"(2, 1)",1,"3","2"
"140",19205,"2021091201_454",38548,2021-09-12 17:22:37,"PIT","RILB",5,"(2, 3)",1,"1","2"
"141",19245,"2021091201_454",38548,2021-09-12 17:22:38,"PIT","RILB",1,"(3, 3)",1,"2","3"
"142",19421,"2021091201_500",44842,2021-09-12 17:23:40,"PIT","LOLB",12,"(3, 1)",1,"3","4"
"143",19461,"2021091201_500",44842,2021-09-12 17:23:41,"PIT","LOLB",6,"(2, 1)",1,"2","3"
"144",19545,"2021091201_561",35449,2021-09-12 17:25:17,"PIT","DLT",14,"(4, 1)",1,"4","3"
"145",19804,"2021091201_691",37841,2021-09-12 17:31:14,"BUF","REO",1,"(2, 1)",1,"2","3"
"146",20241,"2021091201_901",35470,2021-09-12 17:43:04,"BUF","LEO",14,"0",1,"2","3"
"147",20345,"2021091201_997",35470,2021-09-12 17:49:55,"BUF","LOLB",14,"(4, 1)",1,"2","3"
"148",20559,"2021091201_1087",37104,2021-09-12 17:52:47,"PIT","NRT",2,"(4, 3)",1,"4","3"
"149",20599,"2021091201_1087",37104,2021-09-12 17:52:48,"PIT","NRT",1,"(4, 3)",1,"2","3"
"150",20675,"2021091201_1148",37104,2021-09-12 17:54:12,"PIT","DRT",4,"(3, 1)",1,"2","1"
"151",20699,"2021091201_1148",37104,2021-09-12 17:54:13,"PIT","DRT",6,"(2, 1)",1,"3","2"
"152",20703,"2021091201_1148",37104,2021-09-12 17:54:10,"PIT","DRT",2,"(3, 1)",1,"3","2"
"153",20983,"2021091201_1300",37841,2021-09-12 18:01:39,"BUF","REO",1,"(2, 1)",1,"1","2"
"154",21267,"2021091201_1393",37104,2021-09-12 18:04:30,"PIT","DRT",8,"(3, 1)",1,"2","1"
"155",21501,"2021091201_1446",35470,2021-09-12 18:08:32,"BUF","REO",1,"(2, 1)",1,"2","1"
"156",21636,"2021091201_1486",35470,2021-09-12 18:10:18,"BUF","LOLB",12,"(3, 1)",1,"4","3"
"157",21640,"2021091201_1486",35470,2021-09-12 18:10:18,"BUF","LOLB",1,"(3, 1)",1,"2","1"
"158",21668,"2021091201_1548",35449,2021-09-12 18:14:32,"PIT","DLT",13,"0",2,"c(""2"", ""3"")","c(""1"", ""4"")"
"159",21892,"2021091201_1572",35449,2021-09-12 18:15:09,"PIT","DLT",2,"(3, 1)",1,"3","2"
"160",22060,"2021091201_1629",35449,2021-09-12 18:16:36,"PIT","LE",8,"(2, 3)",1,"4","3"
"161",22068,"2021091201_1629",35449,2021-09-12 18:16:36,"PIT","LE",6,"(3, 3)",1,"3","2"
"162",22148,"2021091201_1653",37104,2021-09-12 18:17:00,"PIT","DRT",4,"0",1,"1","4"
"163",22324,"2021091201_1710",44842,2021-09-12 18:19:14,"PIT","LEO",14,"(2, 1)",1,"4","5"
"164",22354,"2021091201_1710",44842,2021-09-12 18:19:14,"PIT","LEO",12,"(3, 1)",1,"3","2"
"165",22436,"2021091201_1746",44842,2021-09-12 18:20:18,"PIT","LEO",14,"(1, 1)",1,"2","3"
"166",22676,"2021091201_1870",35449,2021-09-12 18:25:53,"PIT","DLT",14,"(2, 1)",1,"2","2"
"167",22700,"2021091201_1951",35449,2021-09-12 18:28:18,"PIT","DLT",14,"0",1,"3","1"
"168",23148,"2021091201_2302",35470,2021-09-12 18:51:55,"BUF","LEO",10,"(2, 1)",1,"2","1"
"169",23152,"2021091201_2302",35470,2021-09-12 18:51:55,"BUF","LEO",9,"(2, 1)",1,"3","4"
"170",23260,"2021091201_2362",35449,2021-09-12 18:56:11,"PIT","DLT",2,"(2, 1)",1,"2","3"
"171",23371,"2021091201_2392",35449,2021-09-12 18:56:46,"PIT","DLT",7,"(2, 1)",1,"2","3"
"172",23543,"2021091201_2438",35449,2021-09-12 18:58:03,"PIT","DLT",14,"(4, 1)",1,"3","4"
"173",23607,"2021091201_2483",35449,2021-09-12 18:59:10,"PIT","DLT",13,"(4, 1)",1,"3","4"
"174",23763,"2021091201_2547",37104,2021-09-12 19:01:13,"PIT","DRT",5,"(2, 1)",1,"3","4"
"175",23939,"2021091201_2612",35449,2021-09-12 19:03:21,"PIT","NT",10,"(3, 1)",1,"2","3"
"176",24116,"2021091201_2709",37841,2021-09-12 19:08:28,"BUF","ROLB",1,"(6, 1)",1,"4","3"
"177",24134,"2021091201_2709",37841,2021-09-12 19:08:28,"BUF","ROLB",1,"(6, 1)",1,"3","2"
"178",24158,"2021091201_2709",37841,2021-09-12 19:08:29,"BUF","ROLB",1,"(5, 1)",1,"5","6"
"179",24164,"2021091201_2709",37841,2021-09-12 19:08:29,"BUF","ROLB",1,"(5, 1)",1,"2","1"
"180",24644,"2021091201_2912",37104,2021-09-12 19:17:01,"PIT","DRT",8,"(2, 1)",1,"3","4"
"181",24816,"2021091201_2983",35449,2021-09-12 19:18:59,"PIT","DLT",7,"(2, 1)",1,"2","3"
"182",24832,"2021091201_2983",35449,2021-09-12 19:18:59,"PIT","DLT",7,"(1, 1)",1,"1","2"
"183",25020,"2021091201_3049",35449,2021-09-12 19:22:26,"PIT","DLT",10,"0",1,"2","1"
"184",25308,"2021091201_3219",43319,2021-09-12 19:30:12,"BUF","DLT",4,"(3, 1)",1,"2","1"
"185",25668,"2021091201_3584",37104,2021-09-12 19:44:00,"PIT","REO",1,"(4, 1)",1,"2","1"
"186",25700,"2021091201_3584",37104,2021-09-12 19:44:01,"PIT","REO",1,"(4, 1)",1,"2","3"
"187",26023,"2021091201_3709",40166,2021-09-12 19:50:10,"BUF","LLB",14,"(7, 1)",1,"6","7"
"188",26116,"2021091201_3756",43319,2021-09-12 19:51:44,"BUF","DRT",2,"(2, 1)",1,"4","3"
"189",26200,"2021091201_3799",35470,2021-09-12 19:53:09,"BUF","LEO",14,"(3, 1)",1,"4","3"
"190",26212,"2021091201_3799",35470,2021-09-12 19:53:09,"BUF","LEO",13,"(3, 1)",1,"1","2"
"191",26636,"2021091201_4011",35449,2021-09-12 20:00:29,"PIT","DLT",5,"(3, 1)",1,"3","2"
"192",26664,"2021091201_4011",35449,2021-09-12 20:00:29,"PIT","DLT",2,"(3, 1)",1,"2","1"
"193",26848,"2021091201_4074",38548,2021-09-12 20:04:28,"PIT","ROLB",1,"(3, 1)",1,"4","3"
"194",26946,"2021091201_4103",37104,2021-09-12 20:04:50,"PIT","RILB",7,"(4, 1)",2,"c(""3"", ""1"")","c(""4"", ""2"")"
"195",27054,"2021091201_4156",35449,2021-09-12 20:06:04,"PIT","DLT",14,"(1, 1)",1,"2","1"
"196",27146,"2021091201_4180",35449,2021-09-12 20:06:24,"PIT","DLT",14,"0",2,"c(""3"", ""2"")","c(""4"", ""1"")"
"197",27270,"2021091201_4209",35449,2021-09-12 20:07:00,"PIT","LE",14,"(1, 1)",1,"2","1"
"198",27470,"2021091201_4266",37104,2021-09-12 20:08:26,"PIT","DRT",9,"(3, 1)",1,"2","1"
"199",27590,"2021091202_210",41341,2021-09-12 17:10:56,"CAR","RE",1,"(4, 1)",1,"2","1"
"200",27606,"2021091202_210",41341,2021-09-12 17:10:57,"CAR","RE",1,"(4, 1)",1,"3","2"
"201",27962,"2021091202_489",43791,2021-09-12 17:23:48,"CAR","NT",10,"(2, 1)",1,"2","3"
"202",28012,"2021091202_489",43791,2021-09-12 17:23:49,"CAR","NT",12,"(2, 1)",1,"3","4"
"203",28472,"2021091202_688",43301,2021-09-12 17:32:07,"NYJ","DRT",12,"(4, 3)",1,"2","3"
"204",28690,"2021091202_837",43791,2021-09-12 17:39:44,"CAR","RE",7,"(2, 1)",1,"2","3"
"205",28890,"2021091202_957",41243,2021-09-12 17:46:32,"NYJ","LOLB",14,"(5, 1)",1,"2","1"
"206",29104,"2021091202_1113",43301,2021-09-12 17:53:10,"NYJ","DLT",10,"0",1,"2","3"
